countryiso3code,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,country,region,income
HTI,-3.3361575372067156,0.02536646657459483,-2.452442041505525,0.8990725463835754,1.0909687061150601,0.7033354198314735,-0.09789032073102943,-0.04417294959367031,-0.030345533577715366,0.04609079118936708,0.3963215046210996,-0.7086797117378737,0.48501471483587655,0.5489737358229511,Haiti,Latin America & Caribbean ,Lower middle income
HUN,1.7610459742891353,0.13519041333818285,0.05724844854550124,0.3790046921387421,-0.9249132214273669,1.268270079380815,0.22339863131577434,0.10310053968216024,0.03362594223472485,-0.16933390218386835,0.14877738326402823,0.24384182276160407,-0.006874007597166985,-0.13867421149648215,Hungary,Europe & Central Asia,High income
IDN,-1.2861445193169123,1.9843686384459223,0.26421501477216486,-0.6628123677047606,0.3529862190112955,-0.6397948630152444,0.09780274108318776,0.14859935418795703,0.13329457895251878,-0.04510194826931748,0.18931475313351417,0.15355447748758758,-0.03583999476452606,-0.14249225328366172,Indonesia,East Asia & Pacific,Upper middle income
IND,-1.8649945067701639,0.7206224800897032,0.7780434042637397,-1.2987670890898066,0.5132194961644295,-0.15107094929123888,0.64869490650125,-0.46705199153970933,-0.018401597831469003,0.11345372132209451,-0.07319897340260113,0.013313756856137896,-0.37785775567340896,-0.22043327493017026,India,South Asia,Lower middle income
IRL,3.439212876072415,0.49722538254032417,0.8687061348051235,0.9996613729619205,-1.2878669331416877,0.73110408562673,0.3764175181050712,-0.7378956081017173,0.32895712137797944,-0.512914176558933,0.0968530033086158,0.4139707854218147,0.2843437170663703,0.21259793378753142,Ireland,Europe & Central Asia,High income
IRN,0.12388951186009399,2.492668051353287,-0.6216018021895442,-1.2605015976075278,1.2743665599478533,1.9999469351435986,1.5920515648490419,0.5030034072307566,-0.13185198442842652,-0.25951232803096275,-0.32928336109912837,-0.0804356051419641,-0.6649553858013546,0.2580457868014201,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,0.2256522764827936,2.0095671778582864,-0.22098423849950657,1.6733331759855634,1.3134371185138494,-0.25704646230448674,0.12617975347694926,-0.06946587274586778,-0.2881521121351885,-0.2022566556928381,0.17467915012914956,-0.3028417430064078,-0.23491738768535333,-0.2590452621783721,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,2.6993135362552367,0.19147032294528832,-0.6122726471681751,-1.1839456656270253,0.032906236266091626,0.03354497339877342,-0.06989429073215044,0.44792819866401745,0.357476661300827,0.18565652137793873,-0.2175531020475699,0.4532562566771557,0.04861678175777906,0.36825420527593233,Iceland,Europe & Central Asia,High income
ISR,2.5263421895726363,-0.028994376112624187,-1.0802162892564748,-1.3855018328334345,-0.05750022300944975,-1.0308419172467498,0.3345394159673281,0.22638855176212708,-0.022141052828152617,-0.560479339534362,-0.2533248441863733,-0.016671111511188837,0.07127599974310603,0.021597596093451556,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income
ITA,1.9386796330993987,0.10393647121507976,-0.9468134714017045,-0.26990322959791685,0.45219628740812484,-0.5913038084637424,0.48664447091285723,-0.7304848642631987,0.23475131973000882,-0.2448977058663798,-0.2480164721977879,-0.05778257795118821,0.05895575482554508,0.05479739967485846,Italy,Europe & Central Asia,High income
