countryiso3code,NY.GDP.PCAP.KD,NY.GDP.MKTP.KD.ZG,FP.CPI.TOTL.ZG,SL.UEM.TOTL.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,NV.AGR.TOTL.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS,SP.URB.TOTL.IN.ZS,SP.DYN.LE00.IN,IT.NET.USER.ZS,EN.GHG.CO2.PC.CE.AR5,country,region,income
GHA,1143.31178934301,5.90000381855104,15.4389920155908,5.816,29.0021406363098,36.449216950714,61.7222971639139,37.4530129301836,25.1254359413042,28.9146295321445,47.4528437795757,59.638,1.83119746104616,0.316524627476198,Ghana,Sub-Saharan Africa ,Lower middle income
GIN,651.359606871604,2.99727256275818,31.3733025877534,4.814,13.3976935679061,23.8572578868436,24.0804425048731,15.2811594891059,21.9879538645841,25.9855472680562,32.3962712159907,54.422,0.542299986,0.189522990005023,Guinea,Sub-Saharan Africa ,Lower middle income
GMB,658.676285443081,-2.35172936176019,4.83862177543157,9.92,13.8318506658647,19.9032907784291,30.1154326166684,32.0906328098921,11.4940795967501,50.7407068402588,52.3582132660613,59.11,3.799000025,0.199035774250961,"Gambia, The",Sub-Saharan Africa ,Low income
GNB,595.94255560187,6.55977111846077,3.32919922802856,3.184,18.2527613564441,13.5628027893561,32.2214287557155,40.3978248032999,12.4400960708697,39.0351052317049,38.3801443659997,52.949,1.90139997,0.199263888939153,Guinea-Bissau,Sub-Saharan Africa ,Low income
GNQ,10212.4545051498,16.7487006053541,5.63163351357613,7.667,39.4767488235046,87.4173831312055,43.6070886820041,,,,42.2814597171299,55.766,1.149799943,6.75102679320686,Equatorial Guinea,Sub-Saharan Africa ,Upper middle income
GRC,21880.5265835801,1.18350635493289,3.5450727333508,10.074,22.1679676033349,20.9925302883149,29.3630031508258,4.47718109899217,18.4006884390429,66.6372280101253,74.2617376694311,79.2390243902439,24.0,9.43267845080244,Greece,Europe & Central Asia,High income
GRD,8162.91232124727,13.2761883306272,3.475806937554,,,,,2.96407880724175,22.8478487752929,61.5603407880724,35.9158260786725,73.7,20.4878006,0.649753039167441,Grenada,Latin America & Caribbean ,Upper middle income
GRL,36681.8055890619,4.98749177090193,,,24.1582605403359,41.0606593287719,58.6472672201639,16.9456689293345,16.2443320622729,63.7279029306506,82.6899108886719,67.3051219512195,57.7034045008656,10.728023184333,Greenland,Europe & Central Asia,High income
GTM,3284.80971612832,3.27602692588886,9.1086498571922,3.059,20.0511386188244,25.454901513817,41.6487980943867,12.5899676936002,27.5811372404814,56.2418516877688,48.0557951573834,68.167,5.699999809,0.898994004185174,Guatemala,Latin America & Caribbean ,Upper middle income
GUM,32520.3729565352,3.64231634949867,,7.0,,22.6916686446713,43.7455494896748,,,,93.7899888326279,76.427,38.559877557558,0.0018252060961883,Guam,East Asia & Pacific,High income
GUY,3867.93308158647,-1.95095759501714,6.92554303890157,11.085,32.3339782741868,84.6228685715672,109.727888738605,28.8858697300346,16.6691938643683,37.9228861002105,27.7758550706193,64.392,5.699999809,1.94949757791288,Guyana,Latin America & Caribbean ,High income
HKG,32401.3907659685,7.38818981322424,0.826446280991827,5.58,21.0598211914668,177.45291670355,165.236292821103,0.0674869434363105,8.45767902983093,89.0584757015137,100.0,81.6090243902439,56.9,6.3120706863148,"Hong Kong SAR, China",East Asia & Pacific,High income
HND,1975.85647913236,6.05059922215973,8.80906074819819,4.909,27.6229758897269,59.0058417153113,77.4839263031749,12.4709247586633,26.2400447570959,56.396934051856,48.1703884178554,69.198,6.5,0.948804917659031,Honduras,Latin America & Caribbean ,Lower middle income
HRV,11522.7905248265,4.3270764246793,3.31717824448045,12.598,26.0793630070838,36.4026517230106,45.0896838484012,3.86650247197479,23.7734716436971,56.6357373716889,55.5307217475444,75.2446341463415,33.13999939,5.30160818255534,Croatia,Europe & Central Asia,High income
HTI,1304.33303731231,3.07217337664731,13.973008326384,14.559,9.81592773095545,8.60730926012051,26.3577952437023,18.053012942039,25.0367007859813,54.296439294312,42.5791771857318,60.318,6.376200199,0.201859054461774,Haiti,Latin America & Caribbean ,Lower middle income
HUN,11272.7345428122,4.30028318461673,3.56151711378352,7.189,26.164171343722,62.5215212771297,65.4832893704085,3.72514185336456,27.2089503526625,55.2362663318157,66.1261367797852,72.6487804878049,38.97,6.06869292504807,Hungary,Europe & Central Asia,High income
IDN,2155.4478015921,5.69257130383384,10.4532001873347,7.945,25.0814099389568,34.0672676279992,29.9206682408643,13.1266186400506,46.5410588710711,40.3323224888783,46.2373757571669,67.531,3.60202476259646,1.57055662745946,Indonesia,East Asia & Pacific,Upper middle income
IND,947.732565646672,7.92343062148318,4.24634362031922,7.551,37.4282640165983,19.6052466948335,22.3964229200356,17.6202069548839,29.5337641914637,44.4429329227804,29.0945497159107,64.939,2.388099909,1.05460489385527,India,South Asia,Lower middle income
IRL,50547.2123729763,5.73978202625278,2.45654692931639,4.237,30.3097495862833,79.5276864075247,68.6478778456041,1.03354966551094,30.0341921238419,56.7283489883681,60.4882988006461,78.9439024390244,41.61,11.3160512452902,Ireland,Europe & Central Asia,High income
IRN,4650.35841490708,3.18980408728824,13.433118008508,11.813,38.7176635773832,30.3308191865397,24.1096760770139,6.50138220908685,49.6372490521282,47.9812176030011,67.8708801269531,72.446,8.100000381,6.52930513401687,"Iran, Islamic Rep.","Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,3310.86344473993,1.67522863586828,36.9594809201871,8.57,22.1552649539445,54.3478705800752,61.3946697285668,6.88686273542446,63.6084344986755,30.0180595268732,68.391425621866,64.899,0.899999976,3.07089535110651,Iraq,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,50674.4411254865,7.0293406083855,3.98704782806593,2.547,29.1309380362617,29.8388266002361,41.3718527858994,4.65967867624861,20.4017247228488,60.4397043292362,92.377441015064,81.5024390243902,87.0,10.5394056629844,Iceland,Europe & Central Asia,High income
ISR,29623.7172812577,4.38778887041551,1.34070328119492,11.342,23.6701125407691,38.8199731456125,39.50428823132,1.87834313014638,21.2815520903908,66.4381457928712,91.6384296279033,80.1512195121951,25.19400024,8.92812513527943,Israel,"Middle East, North Africa, Afghanistan & Pakistan",High income
ITA,33407.6754716472,0.762410677306491,1.9852929852798,7.73,21.5260216463093,24.5118533579183,24.6103208709435,2.03006110909468,22.8922792357491,65.02391377712,67.5897169318419,80.7829268292683,35.0,8.4768648141216,Italy,Europe & Central Asia,High income
JAM,5525.73577833713,0.893797935409893,15.0528658875905,6.577,,,,5.18624085360629,21.9006506006203,64.466581747768,52.7685237926234,71.493,12.80000019,3.95557831478646,Jamaica,Latin America & Caribbean ,Upper middle income
JOR,4151.61313015439,8.14659481079931,3.49368534619531,14.8,34.1478444026172,52.704580084252,94.2043111947656,2.75835798153626,24.9215738997938,65.0443667652595,78.412126230667,72.977,12.93290043,3.36910305797064,Jordan,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
JPN,33098.5474664881,1.80390087215821,-0.282946068764391,4.446,26.052325978807,13.8158957221159,12.4140588557406,1.11162940578642,29.8717070448265,69.4739647063861,85.9573620483714,81.9551219512195,66.9210661042901,10.0074734098753,Japan,East Asia & Pacific,High income
KAZ,6787.4115548789,9.69999999922682,7.57999929125766,8.13,30.9697680425121,53.194358254068,44.5681447702344,6.36952301555866,37.6280181516768,52.0218847182371,54.6481873472392,65.356,2.961699963,11.7482167747143,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,1223.44738472019,5.90666607980057,10.3127783574683,2.739,17.6496847904784,28.5090302142012,35.9698359497784,24.2362747002419,17.0126260396617,,27.2686745625048,58.51,3.101900101,0.252147669028053,Kenya,Sub-Saharan Africa ,Lower middle income
KGZ,820.709519437592,-0.175515404044219,4.3386739184431,2.816,16.4182074783546,38.3055564365228,56.778448193841,28.4832783609781,19.9674526656306,42.4302670387872,35.3030968124082,67.9560975609756,10.53380013,1.0872925479987,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,866.340290123209,13.3033338358455,6.61525912001587,1.061,24.3001536627765,61.0399163553182,72.5120489103296,27.4457888917427,27.4192470160455,39.3541365970232,19.0922720052225,64.113,0.317321781089656,0.201001517798453,Cambodia,East Asia & Pacific,Lower middle income
KIR,1368.99716100101,1.29243029465849,,,,14.1424002467431,109.451868341122,19.9785633659329,8.42015582448247,64.8679710349696,43.5443274444527,65.517,4.0,0.628347018921814,Kiribati,East Asia & Pacific,Lower middle income
