iso,perc_e,perc_m,dperc,tier_e,tier_m,pc1_e,pc1_m,country,region
RUS,58.854166666666664,61.78010471204188,2.9259380453752186,1,1,-0.022576236961589675,1.3277196716378836,Russian Federation,Europe & Central Asia
RWA,2.604166666666667,8.900523560209423,6.2963568935427565,0,0,-4.506290380555847,-2.710943137816828,Rwanda,Sub-Saharan Africa 
SAU,72.91666666666666,78.01047120418848,5.0938045375218195,1,1,1.1987068149940514,2.2925788260850335,Saudi Arabia,"Middle East, North Africa, Afghanistan & Pakistan"
SDN,6.770833333333333,0.5235602094240838,-6.247273123909249,0,0,-4.2085483512674315,-4.618679763078515,Sudan,Sub-Saharan Africa 
SEN,23.958333333333336,24.60732984293194,0.6489965095986037,0,0,-2.4845998942641487,-1.2168002143163665,Senegal,Sub-Saharan Africa 
SGP,98.95833333333334,98.95287958115183,-0.0054537521815092305,1,1,4.577722892553003,4.952519270946513,Singapore,East Asia & Pacific
SLB,20.833333333333336,18.32460732984293,-2.5087260034904055,0,0,-2.9658362611934384,-1.9773639505607372,Solomon Islands,East Asia & Pacific
SLE,3.125,5.2356020942408374,2.1106020942408374,0,0,-4.450455815114302,-3.219843436384938,Sierra Leone,Sub-Saharan Africa 
SLV,43.22916666666667,48.167539267015705,4.938372600349034,0,1,-0.7209728265376175,0.48694693791010946,El Salvador,Latin America & Caribbean 
SRB,52.604166666666664,62.82722513089005,10.223058464223385,1,1,-0.27790995683743785,1.3933289316685957,Serbia,Europe & Central Asia
SUR,46.35416666666667,37.696335078534034,-8.657831588132638,1,1,-0.48683760826399725,-0.08764393373566258,Suriname,Latin America & Caribbean 
SVK,80.20833333333334,76.43979057591623,-3.7685427574171086,1,1,1.8210753295366586,2.228519286799308,Slovak Republic,Europe & Central Asia
SVN,78.64583333333334,80.10471204188482,1.458878708551481,1,1,1.711007877203633,2.5262205619701716,Slovenia,Europe & Central Asia
SWE,94.27083333333334,91.09947643979058,-3.1713568935427645,1,1,2.9022949326081284,3.113341184236175,Sweden,Europe & Central Asia
SWZ,22.395833333333336,28.272251308900525,5.87641797556719,0,0,-2.817095800946422,-0.7744558938178219,Eswatini,Sub-Saharan Africa 
SYC,76.04166666666666,79.05759162303664,3.015924956369986,1,1,1.3349884528350415,2.4069988100313258,Seychelles,Sub-Saharan Africa 
TCD,5.729166666666666,2.094240837696335,-3.634925828970331,0,0,-4.217968217006586,-4.155340336711796,Chad,Sub-Saharan Africa 
TGO,20.3125,10.99476439790576,-9.31773560209424,0,0,-3.0261408726873458,-2.6065804249379907,Togo,Sub-Saharan Africa 
THA,54.6875,56.02094240837696,1.3334424083769605,1,1,-0.1784206071822839,1.0833568527875594,Thailand,East Asia & Pacific
TJK,23.4375,17.801047120418847,-5.636452879581153,0,0,-2.5850007897447207,-2.151148401740702,Tajikistan,Europe & Central Asia
TKM,32.8125,36.12565445026178,3.313154450261777,0,1,-1.4993760075918339,-0.2043870454386765,Turkmenistan,Europe & Central Asia
TLS,19.270833333333336,21.98952879581152,2.718695462478184,0,0,-3.0545979288882967,-1.5211040364275583,Timor-Leste,East Asia & Pacific
TON,27.083333333333332,23.56020942408377,-3.5231239092495628,0,0,-1.934387539692973,-1.2953024601239345,Tonga,East Asia & Pacific
TTO,70.83333333333334,74.86910994764398,4.035776614310635,1,1,1.1284280860151497,2.029950764644629,Trinidad and Tobago,Latin America & Caribbean 
TUN,56.25,52.879581151832454,-3.370418848167546,1,1,-0.11187401065337352,0.8613573676961609,Tunisia,"Middle East, North Africa, Afghanistan & Pakistan"
TUR,48.4375,58.1151832460733,9.6776832460733,1,1,-0.4295876907714725,1.212198103750651,Turkiye,Europe & Central Asia
TZA,9.895833333333332,6.806282722513089,-3.0895506108202433,0,0,-3.771884401292506,-2.9763663435235004,Tanzania,Sub-Saharan Africa 
UGA,5.208333333333334,4.18848167539267,-1.0198516579406638,0,0,-4.230212008123933,-3.2414469712493164,Uganda,Sub-Saharan Africa 
UKR,46.875,43.455497382198956,-3.4195026178010437,0,1,-0.4806649346569624,0.2360884028810673,Ukraine,Europe & Central Asia
URY,64.0625,65.96858638743456,1.9060863874345557,1,1,0.334766879192192,1.568529725504143,Uruguay,Latin America & Caribbean 
USA,84.375,74.3455497382199,-10.029450261780099,1,1,2.2520361596176155,2.012910280118669,United States,North America
UZB,29.166666666666668,31.93717277486911,2.7705061082024436,0,0,-1.7955262553125406,-0.5061581170682965,Uzbekistan,Europe & Central Asia
VCT,51.041666666666664,51.832460732984295,0.7907940663176305,1,1,-0.32964125388300525,0.7798221494794964,St. Vincent and the Grenadines,Latin America & Caribbean 
VEN,60.9375,32.98429319371728,-27.953206806282722,1,1,0.08302772576076017,-0.4282688595363043,"Venezuela, RB",Latin America & Caribbean 
VNM,33.85416666666667,44.50261780104712,10.648451134380451,0,1,-1.4810048281948127,0.31511030994287803,Viet Nam,East Asia & Pacific
WSM,35.9375,33.50785340314136,-2.429646596858639,0,0,-1.3241893315139517,-0.4030659156794054,Samoa,East Asia & Pacific
ZAF,48.95833333333333,53.403141361256544,4.444808027923216,1,1,-0.4047464863903127,0.8632831479834169,South Africa,Sub-Saharan Africa 
ZMB,16.145833333333336,27.225130890052355,11.07929755671902,0,0,-3.1748654497532427,-0.9923032123844733,Zambia,Sub-Saharan Africa 
ZWE,14.583333333333334,15.706806282722512,1.1234729493891784,0,0,-3.2298523594349913,-2.3590645333756606,Zimbabwe,Sub-Saharan Africa 
